RACED,RACED_value,RACED_desc
949,2 or 3 races (CPS),Race [detailed version]
950,"White, Black, AIAN, Asian",Race [detailed version]
951,"White, Black, AIAN, PI",Race [detailed version]
952,"White, Black, AIAN, other race write_in",Race [detailed version]
953,"White, Black, Asian, PI",Race [detailed version]
954,"White, Black, Asian, other race write_in",Race [detailed version]
955,"White, Black, PI, other race write_in",Race [detailed version]
960,"White, AIAN, Asian, PI",Race [detailed version]
961,"White, AIAN, Asian, other race write_in",Race [detailed version]
962,"White, AIAN, PI, other race write_in",Race [detailed version]
963,"White, Asian, PI, other race write_in",Race [detailed version]
964,"White, Chinese, Japanese, Native Hawaiian",Race [detailed version]
970,"Black, AIAN, Asian, PI",Race [detailed version]
971,"Black, AIAN, Asian, other race write_in",Race [detailed version]
972,"Black, AIAN, PI, other race write_in",Race [detailed version]
973,"Black, Asian, PI, other race write_in",Race [detailed version]
974,"AIAN, Asian, PI, other race write_in",Race [detailed version]
975,"AIAN, Asian, PI, Hawaiian other race write_in",Race [detailed version]
976,"Two specified Asian  (Chinese and other Asian, Chinese and Japanese, Japanese and other Asian, Korean and other Asian); Native Hawaiian/PI; and Other Race",Race [detailed version]
980,"White, Black, AIAN, Asian, PI",Race [detailed version]
981,"White, Black, AIAN, Asian, other race write_in",Race [detailed version]
982,"White, Black, AIAN, PI, other race write_in",Race [detailed version]
983,"White, Black, Asian, PI, other race write_in",Race [detailed version]
984,"White, AIAN, Asian, PI, other race write_in",Race [detailed version]
985,"Black, AIAN, Asian, PI, other race write_in",Race [detailed version]
986,"Black, AIAN, Asian, PI, Hawaiian, other race write_in",Race [detailed version]
989,4 or 5 races (CPS),Race [detailed version]
990,"White, Black, AIAN, Asian, PI, other race write_in",Race [detailed version]
991,White race; Some other race; Black or African American race and/or American Indian and Alaska Native race and/or Asian groups and/or Native Hawaiian and Other Pacific Islander groups,Race [detailed version]
996,"2+ races, n.e.c. (CPS)",Race [detailed version]
997,Unknown,Race [detailed version]
