INCTOT,INCTOT_group
4510,"Under $10,000"
4520,"Under $10,000"
4530,"Under $10,000"
4540,"Under $10,000"
4550,"Under $10,000"
4560,"Under $10,000"
4570,"Under $10,000"
4580,"Under $10,000"
4590,"Under $10,000"
4600,"Under $10,000"
4610,"Under $10,000"
4620,"Under $10,000"
4630,"Under $10,000"
4640,"Under $10,000"
4650,"Under $10,000"
4660,"Under $10,000"
4670,"Under $10,000"
4680,"Under $10,000"
4690,"Under $10,000"
4700,"Under $10,000"
4710,"Under $10,000"
4720,"Under $10,000"
4730,"Under $10,000"
4740,"Under $10,000"
4750,"Under $10,000"
4760,"Under $10,000"
4770,"Under $10,000"
4780,"Under $10,000"
4790,"Under $10,000"
4800,"Under $10,000"
4804,"Under $10,000"
4810,"Under $10,000"
4820,"Under $10,000"
4830,"Under $10,000"
4840,"Under $10,000"
4850,"Under $10,000"
4860,"Under $10,000"
4870,"Under $10,000"
4880,"Under $10,000"
4890,"Under $10,000"
4900,"Under $10,000"
4910,"Under $10,000"
4920,"Under $10,000"
4930,"Under $10,000"
4940,"Under $10,000"
4950,"Under $10,000"
4960,"Under $10,000"
4970,"Under $10,000"
4980,"Under $10,000"
4990,"Under $10,000"
5000,"Under $10,000"
5004,"Under $10,000"
5010,"Under $10,000"
5020,"Under $10,000"
5030,"Under $10,000"
5040,"Under $10,000"
5050,"Under $10,000"
5060,"Under $10,000"
5070,"Under $10,000"
5080,"Under $10,000"
5090,"Under $10,000"
5100,"Under $10,000"
5110,"Under $10,000"
5120,"Under $10,000"
5130,"Under $10,000"
5140,"Under $10,000"
5150,"Under $10,000"
5160,"Under $10,000"
5170,"Under $10,000"
5180,"Under $10,000"
5190,"Under $10,000"
5200,"Under $10,000"
5210,"Under $10,000"
5220,"Under $10,000"
5230,"Under $10,000"
5240,"Under $10,000"
5250,"Under $10,000"
5260,"Under $10,000"
5270,"Under $10,000"
5280,"Under $10,000"
5290,"Under $10,000"
5300,"Under $10,000"
5310,"Under $10,000"
5320,"Under $10,000"
5330,"Under $10,000"
5340,"Under $10,000"
5350,"Under $10,000"
5360,"Under $10,000"
5370,"Under $10,000"
5380,"Under $10,000"
5390,"Under $10,000"
5400,"Under $10,000"
5410,"Under $10,000"
5420,"Under $10,000"
5430,"Under $10,000"
5440,"Under $10,000"
5450,"Under $10,000"
5460,"Under $10,000"
5470,"Under $10,000"
5480,"Under $10,000"
5490,"Under $10,000"
5500,"Under $10,000"
5510,"Under $10,000"
5520,"Under $10,000"
5530,"Under $10,000"
5540,"Under $10,000"
5550,"Under $10,000"
5560,"Under $10,000"
5570,"Under $10,000"
5580,"Under $10,000"
5590,"Under $10,000"
5600,"Under $10,000"
5610,"Under $10,000"
5620,"Under $10,000"
5630,"Under $10,000"
5640,"Under $10,000"
5650,"Under $10,000"
5660,"Under $10,000"
5670,"Under $10,000"
5680,"Under $10,000"
5690,"Under $10,000"
5700,"Under $10,000"
5710,"Under $10,000"
5720,"Under $10,000"
5730,"Under $10,000"
5740,"Under $10,000"
5750,"Under $10,000"
5760,"Under $10,000"
5770,"Under $10,000"
5780,"Under $10,000"
5790,"Under $10,000"
5800,"Under $10,000"
5810,"Under $10,000"
